Time,Calmness,Excitement,Awkwardness,Doubt,Anxiety,Triumph
0.32,0.6070442199707031,0.1189462691545486,0.2747970223426819,0.265717089176178,0.1154464334249496,0.0414073430001735
0.68,0.6354417204856873,0.0776446163654327,0.1925413906574249,0.2242806851863861,0.1242956891655922,0.0442942194640636
1.0,0.7870639562606812,0.0601767860352993,0.2187942862510681,0.29336017370224,0.1269286721944809,0.0290734898298978
1.32,0.6454383134841919,0.0721753984689712,0.225933700799942,0.335530012845993,0.1249843835830688,0.0351606160402298
1.68,0.4192557632923126,0.1199819520115852,0.2492103725671768,0.3445892930030823,0.1403016746044159,0.0342296659946441
2.0,0.5958417057991028,0.077661707997322,0.2376045882701873,0.3444442749023437,0.1330061554908752,0.0344775654375553
2.32,0.7205001711845398,0.1190851032733917,0.2380078434944152,0.2580384016036987,0.0934570133686065,0.0476084873080253
2.68,0.1435592025518417,0.2168838232755661,0.1957762390375137,0.2199452519416809,0.1164542287588119,0.0595516487956047
3.0,0.1224618330597877,0.2503817081451416,0.1746618896722793,0.2075842916965484,0.1129372715950012,0.0597051195800304
3.32,0.4475879669189453,0.2259799987077713,0.2413719892501831,0.1729845851659774,0.0761117190122604,0.0585423000156879
3.68,0.4700074195861816,0.1945474445819854,0.2147685587406158,0.2215678095817566,0.0833421200513839,0.0561202839016914
4.0,0.6039167046546936,0.1639896184206009,0.2233891040086746,0.2036446183919906,0.0762655884027481,0.0604329071938991
4.32,0.3293376266956329,0.3228445947170257,0.2133242934942245,0.1646020114421844,0.0711351260542869,0.0742047280073165
4.68,0.2597702145576477,0.2270421087741851,0.2463837563991546,0.2813821732997894,0.1248427852988243,0.05844022706151
5.0,0.2506896555423736,0.2446240782737732,0.2030305713415146,0.2633452117443084,0.1082272231578826,0.0560537278652191
5.32,0.3031381368637085,0.2124694585800171,0.2172998934984207,0.2782059609889984,0.1130071878433227,0.051271166652441
5.68,0.6613215208053589,0.106666475534439,0.2183611690998077,0.2769852876663208,0.1039110869169235,0.0432314723730087
6.0,0.3327031135559082,0.2141311466693878,0.2131449580192566,0.2692556381225586,0.0992507338523864,0.0526705756783485
6.32,0.2865862548351288,0.1954107284545898,0.2197703123092651,0.2983809113502502,0.117871381342411,0.0486725717782974
6.68,0.2767853140830993,0.2500139772891998,0.256945252418518,0.2549297213554382,0.1141563951969146,0.0583986230194568
7.0,0.5338435769081116,0.1701551526784896,0.2286815494298935,0.2600217163562774,0.0931506901979446,0.0462622381746768
7.32,0.6493433117866516,0.1290465742349624,0.2308693826198578,0.2577537894248962,0.0929162576794624,0.049381885677576
7.68,0.4878921508789062,0.1700557321310043,0.2435176968574524,0.2656019330024719,0.0968648567795753,0.0479361116886138
8.0,0.6395626068115234,0.1504377871751785,0.2400338649749755,0.2252692878246307,0.0796235203742981,0.0580348744988441
8.32,0.3735934197902679,0.1856906414031982,0.2261172831058502,0.2895050644874573,0.1040494069457054,0.047518815845251
8.68,0.4887205064296722,0.1601996272802353,0.15299092233181,0.081702247262001,0.0845875293016433,0.0582517348229885
9.0,0.2815805375576019,0.3584065437316894,0.2081498801708221,0.1708609461784362,0.0751525461673736,0.0831259414553642
9.32,0.2984411716461181,0.3892233371734619,0.2026849091053009,0.1246602237224578,0.0602507814764976,0.0862086713314056
9.68,0.2199358493089676,0.2079612612724304,0.1902359127998352,0.2672964036464691,0.1030079945921897,0.0520511493086814
10.0,0.2708497941493988,0.1473145931959152,0.2027730792760849,0.3175874054431915,0.1257136017084121,0.0370146855711936
10.32,0.3480125665664673,0.1284501999616623,0.2190240621566772,0.339175134897232,0.1351643502712249,0.0356221199035644
10.68,0.3867132365703583,0.0901725515723228,0.2219941467046737,0.3728614747524261,0.1532919108867645,0.0268032420426607
11.0,0.3878269791603088,0.0791024416685104,0.2299135625362396,0.3921936154365539,0.1661472022533416,0.0232595168054103
11.32,0.4511355459690094,0.0767586007714271,0.2199415564537048,0.3839009702205658,0.1589707881212234,0.0251719318330287
11.68,0.4306301474571228,0.0852466821670532,0.223170593380928,0.370106428861618,0.1539097428321838,0.0261319708079099
12.0,0.4606875479221344,0.0800123363733291,0.2147181332111358,0.3786813914775848,0.1555595993995666,0.025761317461729
12.32,0.3900297880172729,0.1038660258054733,0.228005439043045,0.3526463508605957,0.1477059125900268,0.028096904978156
12.68,0.4623518586158752,0.0785377994179725,0.2225688844919204,0.3882105946540832,0.1649420112371444,0.0242537800222635
13.0,0.581737756729126,0.0671389997005462,0.1888198405504226,0.376247763633728,0.1365118026733398,0.0291585400700569
13.32,0.5660901069641113,0.0700880512595176,0.2212682664394378,0.3700628578662872,0.1402340084314346,0.0326196514070034
13.68,0.3378448486328125,0.1091057360172271,0.2264806479215622,0.4177863001823425,0.1472165286540985,0.0368893519043922
14.0,0.2343736141920089,0.1656955778598785,0.2294637113809585,0.3090993165969848,0.1486688703298568,0.0437359549105167
14.32,0.2624305784702301,0.1500330865383148,0.2340514361858368,0.32306569814682,0.1504046618938446,0.040304310619831
14.68,0.7747601866722107,0.0919349193572998,0.2002346515655517,0.2645063102245331,0.0955320447683334,0.0411177091300487
15.0,0.6230539679527283,0.0750216394662857,0.1671636998653412,0.3541455864906311,0.1060962378978729,0.0343060195446014
15.32,0.3502608835697174,0.2009185999631881,0.2245157361030578,0.2920898199081421,0.1078865826129913,0.0499876253306865
15.68,0.661709725856781,0.1454969942569732,0.2283228635787964,0.232951819896698,0.0802291855216026,0.0587391629815101
16.0,0.6480626463890076,0.147275686264038,0.2241551876068115,0.229465439915657,0.0772126838564872,0.0616912469267845
16.32,0.7005536556243896,0.1026999205350875,0.2150391787290573,0.2727948129177093,0.0981893762946128,0.0446155592799186
16.68,0.7084408402442932,0.087709940969944,0.2085659056901931,0.2873445153236389,0.1047969162464141,0.041401170194149
17.0,0.5544543862342834,0.0874877795577049,0.2285333573818206,0.3500580191612243,0.1220457181334495,0.0440867841243743
17.32,0.6239660382270813,0.1193907335400581,0.2321371585130691,0.2845351099967956,0.1033426150679588,0.0478426814079284
17.68,0.7593299150466919,0.0921503975987434,0.2169873565435409,0.2815508842468261,0.1044867113232612,0.0392756536602973
18.0,0.6906740069389343,0.1013571470975875,0.1961461454629898,0.2576112151145935,0.0888077765703201,0.0507970489561557
18.32,0.7628803253173828,0.0964146926999092,0.2082612216472625,0.2629157304763794,0.0931007340550422,0.0449702590703964
18.68,0.7192220687866211,0.0800369381904602,0.2056173980236053,0.297267735004425,0.1098968163132667,0.0399619713425636
19.0,0.7495852708816528,0.0674286261200904,0.2050212323665619,0.3118066191673279,0.119209811091423,0.0333615466952323
19.32,0.7279133200645447,0.0733862146735191,0.2061487436294555,0.305383026599884,0.1165954023599624,0.0357739180326461
19.68,0.7842224836349487,0.0607119277119636,0.2023744881153106,0.3045489192008972,0.1217619925737381,0.0303268246352672
20.0,0.7345309853553772,0.0775177627801895,0.2065443098545074,0.2908492684364319,0.110502541065216,0.0372399613261222
20.32,0.6959981918334961,0.0772089287638664,0.2126783281564712,0.3092088103294372,0.1162846088409423,0.0357104614377021
20.68,0.7302935123443604,0.0763733685016632,0.2038271725177765,0.3048107326030731,0.1129567697644233,0.0366514697670936
21.0,0.799695611000061,0.0680281296372413,0.2003375440835952,0.2835460603237152,0.1116527616977691,0.0322967693209648
21.32,0.7367220520973206,0.0710814222693443,0.1990606188774109,0.308617502450943,0.1154253706336021,0.0347660444676876
21.68,0.7416301965713501,0.0687266141176223,0.1986562311649322,0.313418835401535,0.1180247142910957,0.0341804847121238
22.0,0.7351869344711304,0.0736343339085578,0.200393870472908,0.3076987266540527,0.1128828227519989,0.0358235724270343
22.32,0.7645244002342224,0.0749738737940788,0.2001791447401046,0.3002596795558929,0.1119540706276893,0.0346565581858158
22.68,0.7500606775283813,0.0981707423925399,0.208369642496109,0.2616713047027588,0.0960348173975944,0.0435368716716766
23.0,0.765446662902832,0.0921583995223045,0.2060840874910354,0.2678350210189819,0.0986272543668747,0.0417982563376426
23.32,0.7997738122940063,0.0767990127205848,0.2034892439842224,0.2779633998870849,0.1082436814904213,0.0353867001831531
23.68,0.7179384827613831,0.0855999812483787,0.1985515505075454,0.2929586768150329,0.1012943238019943,0.0412146188318729
24.0,0.714652419090271,0.0906354039907455,0.2045533061027526,0.2887228429317474,0.1036027893424034,0.0413332730531692
24.32,0.7124794125556946,0.0792550221085548,0.2104261815547943,0.3013971745967865,0.1139560043811798,0.0369281359016895
24.68,0.7151849269866943,0.0799882933497428,0.2087502777576446,0.2990752458572387,0.1125068217515945,0.0372416861355304
25.0,0.6857407093048096,0.0951020643115043,0.2065261304378509,0.2903832495212555,0.1005612760782241,0.0422064960002899
25.32,0.6624669432640076,0.0919662490487098,0.2111807167530059,0.3039576411247253,0.1062355488538742,0.0407573282718658
25.68,0.6566995978355408,0.0936353951692581,0.2162240743637085,0.3065836727619171,0.108247771859169,0.0401227362453937
26.0,0.71251380443573,0.0857699140906333,0.2091451287269592,0.3020446300506592,0.1075901016592979,0.0379223674535751
26.32,0.7405880093574524,0.0860661268234252,0.209631934762001,0.2942091822624206,0.1056718379259109,0.0371432527899742
26.68,0.7080098986625671,0.0823275744915008,0.2055264711380005,0.3145720958709717,0.1100848540663719,0.0380908362567424
27.0,0.6829649209976196,0.1034622713923454,0.2154539674520492,0.2764854431152344,0.0986095815896987,0.0444709584116935
27.32,0.6824885010719299,0.1063874140381813,0.2058048248291015,0.2715766727924347,0.0932584404945373,0.04782185703516
